Total turns: 1934
Opus: 978, Jake: 956

--- Speaker turn sequence ---
  Turn 000 | Jake  |    16 words
  Turn 116 | Jake  |   226 words
  Turn 117 | Opus  |  1082 words
  Turn 118 | Jake  |    45 words
  Turn 119 | Opus  |   365 words
  Turn 120 | Jake  |    55 words
  Turn 121 | Opus  |   226 words
  Turn 122 | Jake  |    39 words
  Turn 123 | Opus  |   142 words
  Turn 124 | Jake  |    39 words
  Turn 125 | Opus  |   137 words
  Turn 126 | Jake  |    33 words
  Turn 127 | Opus  |   129 words
  Turn 128 | Jake  |    21 words
  Turn 129 | Opus  |   256 words
  Turn 130 | Jake  |   173 words
  Turn 131 | Opus  |   173 words
  Turn 132 | Jake  |   262 words
  Turn 133 | Opus  |   175 words
  Turn 134 | Jake  |    20 words
  Turn 135 | Opus  |    78 words
  Turn 136 | Jake  |     9 words
  Turn 137 | Opus  |    27 words
  Turn 138 | Jake  |   218 words
  Turn 139 | Opus  |   167 words
  Turn 140 | Jake  |   155 words
  Turn 141 | Opus  |   133 words
  Turn 142 | Jake  |    70 words
  Turn 143 | Opus  |   163 words
  Turn 144 | Jake  |    36 words
  Turn 145 | Opus  |   213 words
  Turn 146 | Jake  |    65 words
  Turn 147 | Opus  |   245 words
  Turn 148 | Jake  |    32 words
  Turn 149 | Opus  |   322 words
  Turn 150 | Jake  |    13 words
  Turn 151 | Opus  |   240 words
  Turn 152 | Jake  |    48 words
  Turn 153 | Opus  |   135 words
  Turn 154 | Jake  |   357 words
  Turn 155 | Opus  |    69 words
  Turn 156 | Jake  |   268 words
  Turn 157 | Opus  |   118 words
  Turn 158 | Jake  |    24 words
  Turn 159 | Opus  |    93 words
  Turn 160 | Jake  |   141 words
  Turn 161 | Opus  |    91 words
  Turn 162 | Jake  |    24 words
  Turn 163 | Opus  |    33 words
  Turn 164 | Jake  |   232 words
  Turn 165 | Opus  |   204 words
  Turn 166 | Jake  |   314 words
  Turn 167 | Opus  |   206 words
  Turn 168 | Jake  |    17 words
  Turn 169 | Opus  |   107 words
  Turn 170 | Jake  |    15 words
  Turn 171 | Opus  |    96 words
  Turn 172 | Jake  |   126 words
  Turn 173 | Opus  |   100 words
  Turn 174 | Jake  |   331 words
  Turn 175 | Opus  |    75 words
  Turn 176 | Jake  |    60 words
  Turn 177 | Opus  |   105 words
  Turn 178 | Jake  |    25 words
  Turn 179 | Opus  |   106 words
  Turn 180 | Jake  |    12 words
  Turn 181 | Opus  |    55 words
  Turn 182 | Jake  |    44 words
  Turn 183 | Opus  |   126 words
  Turn 184 | Jake  |     9 words
  Turn 185 | Opus  |    81 words
  Turn 186 | Jake  |   185 words
  Turn 187 | Opus  |   219 words
  Turn 188 | Jake  |   127 words
  Turn 189 | Opus  |   106 words
  Turn 190 | Jake  |    38 words
  Turn 191 | Opus  |   295 words
  Turn 192 | Jake  |     6 words
  Turn 193 | Opus  |    89 words
  Turn 194 | Jake  |    18 words
  Turn 195 | Opus  |    74 words
  Turn 196 | Jake  |    12 words
  Turn 197 | Opus  |    67 words
  Turn 198 | Jake  |    38 words
  Turn 199 | Opus  |    54 words
  Turn 200 | Jake  |    88 words
  Turn 201 | Opus  |    29 words
  Turn 202 | Jake  |    13 words
  Turn 203 | Opus  |    39 words
  Turn 204 | Jake  |    18 words
  Turn 205 | Opus  |    33 words
  Turn 206 | Jake  |    68 words
  Turn 207 | Opus  |    14 words
  Turn 208 | Jake  |    70 words
  Turn 209 | Opus  |    51 words
  Turn 210 | Jake  |    66 words
  Turn 211 | Opus  |   131 words
  Turn 212 | Jake  |   151 words
  Turn 213 | Opus  |   331 words
  Turn 214 | Jake  |    10 words
  Turn 215 | Opus  |   248 words
  Turn 216 | Jake  |   113 words
  Turn 217 | Opus  |   328 words
  Turn 218 | Jake  |    38 words
  Turn 219 | Opus  |   290 words
  Turn 220 | Jake  |    84 words
  Turn 221 | Opus  |  1298 words
  Turn 222 | Opus  |  1393 words
  Turn 223 | Jake  |   275 words
  Turn 224 | Opus  |  1584 words
  Turn 225 | Jake  |    35 words
  Turn 226 | Opus  |   622 words
  Turn 227 | Opus  |   146 words
  Turn 228 | Jake  |   216 words
  Turn 229 | Opus  |    94 words
  Turn 230 | Jake  |   168 words
  Turn 231 | Opus  |    85 words
  Turn 232 | Jake  |    10 words
  Turn 233 | Opus  |   389 words
  Turn 234 | Jake  |    69 words
  Turn 235 | Opus  |   526 words
  Turn 236 | Jake  |    10 words
  Turn 237 | Opus  |   294 words
  Turn 238 | Jake  |    11 words
  Turn 239 | Opus  |   563 words
  Turn 240 | Jake  |     6 words
  Turn 241 | Opus  |   319 words
  Turn 242 | Jake  |     9 words
  Turn 243 | Opus  |   320 words
  Turn 244 | Jake  |    17 words
  Turn 245 | Opus  |   331 words
  Turn 246 | Opus  |   100 words
  Turn 247 | Jake  |   359 words
  Turn 248 | Opus  |    74 words
  Turn 249 | Jake  |    24 words
  Turn 250 | Opus  |   309 words
  Turn 251 | Jake  |    25 words
  Turn 252 | Opus  |   186 words
  Turn 253 | Jake  |     7 words
  Turn 254 | Opus  |   400 words
  Turn 255 | Jake  |    14 words
  Turn 256 | Opus  |    54 words
  Turn 257 | Jake  |    49 words
  Turn 258 | Opus  |   268 words
  Turn 259 | Jake  |    30 words
  Turn 260 | Opus  |   249 words
  Turn 261 | Jake  |    93 words
  Turn 262 | Opus  |   289 words
  Turn 263 | Jake  |    86 words
  Turn 264 | Opus  |   300 words
  Turn 265 | Jake  |    34 words
  Turn 266 | Opus  |   272 words
  Turn 267 | Jake  |    18 words
  Turn 268 | Opus  |   297 words
  Turn 269 | Jake  |   110 words
  Turn 270 | Opus  |   260 words
  Turn 271 | Jake  |    14 words
  Turn 272 | Opus  |   508 words
  Turn 273 | Jake  |     9 words
  Turn 274 | Opus  |   194 words
  Turn 275 | Jake  |    42 words
  Turn 276 | Opus  |   243 words
  Turn 277 | Jake  |    11 words
  Turn 278 | Opus  |   183 words
  Turn 279 | Jake  |    29 words
  Turn 280 | Opus  |   303 words
  Turn 281 | Jake  |     9 words
  Turn 282 | Opus  |   304 words
  Turn 283 | Jake  |    46 words
  Turn 284 | Opus  |   278 words
  Turn 285 | Jake  |    36 words
  Turn 286 | Opus  |   524 words
  Turn 287 | Jake  |    21 words
  Turn 288 | Opus  |   235 words
  Turn 289 | Jake  |    11 words
  Turn 290 | Opus  |   113 words
  Turn 291 | Jake  |    19 words
  Turn 292 | Opus  |   614 words
  Turn 293 | Jake  |     7 words
  Turn 294 | Opus  |   201 words
  Turn 295 | Jake  |    28 words
  Turn 296 | Opus  |   492 words
  Turn 297 | Jake  |   130 words
  Turn 298 | Opus  |  1042 words
  Turn 299 | Jake  |    62 words
  Turn 300 | Opus  |   761 words
  Turn 301 | Jake  |    33 words
  Turn 302 | Opus  |   319 words
  Turn 303 | Jake  |    24 words
  Turn 304 | Opus  |   253 words
  Turn 305 | Jake  |    68 words
  Turn 306 | Opus  |   242 words
  Turn 307 | Jake  |   146 words
  Turn 308 | Opus  |   250 words
  Turn 309 | Jake  |    28 words
  Turn 310 | Opus  |   254 words
  Turn 311 | Jake  |    65 words
  Turn 312 | Opus  |    58 words
  Turn 313 | Jake  |    23 words
  Turn 314 | Opus  |   100 words
  Turn 315 | Jake  |    28 words
  Turn 316 | Opus  |   176 words
  Turn 317 | Jake  |    62 words
  Turn 318 | Opus  |    37 words
  Turn 319 | Jake  |    32 words
  Turn 320 | Opus  |    64 words
  Turn 321 | Jake  |    48 words
  Turn 322 | Opus  |    85 words
  Turn 323 | Jake  |   167 words
  Turn 324 | Opus  |   201 words
  Turn 325 | Jake  |    57 words
  Turn 326 | Opus  |   203 words
  Turn 327 | Jake  |   202 words
  Turn 328 | Opus  |   211 words
  Turn 329 | Jake  |    15 words
  Turn 330 | Opus  |   118 words
  Turn 331 | Jake  |    24 words
  Turn 332 | Opus  |   219 words
  Turn 333 | Jake  |    28 words
  Turn 334 | Opus  |   130 words
  Turn 335 | Jake  |    30 words
  Turn 336 | Opus  |   285 words
  Turn 337 | Jake  |    44 words
  Turn 338 | Opus  |   107 words
  Turn 339 | Jake  |   199 words
  Turn 340 | Opus  |   214 words
  Turn 341 | Jake  |    39 words
  Turn 342 | Opus  |   228 words
  Turn 343 | Jake  |    16 words
  Turn 344 | Opus  |   235 words
  Turn 345 | Jake  |    13 words
  Turn 346 | Opus  |   152 words
  Turn 347 | Jake  |    30 words
  Turn 348 | Opus  |   308 words
  Turn 349 | Jake  |    33 words
  Turn 350 | Opus  |   308 words
  Turn 351 | Jake  |    66 words
  Turn 352 | Opus  |    48 words
  Turn 353 | Jake  |    19 words
  Turn 354 | Opus  |    96 words
  Turn 355 | Jake  |    26 words
  Turn 356 | Opus  |   116 words
  Turn 357 | Jake  |    23 words
  Turn 358 | Opus  |   147 words
  Turn 359 | Jake  |    78 words
  Turn 360 | Opus  |    98 words
  Turn 361 | Jake  |    39 words
  Turn 362 | Opus  |    67 words
  Turn 363 | Jake  |    76 words
  Turn 364 | Opus  |    25 words
  Turn 365 | Jake  |    12 words
  Turn 366 | Opus  |   115 words
  Turn 367 | Jake  |    66 words
  Turn 368 | Opus  |    59 words
  Turn 369 | Jake  |    57 words
  Turn 370 | Opus  |   199 words
  Turn 371 | Jake  |    69 words
  Turn 372 | Opus  |    66 words
  Turn 373 | Jake  |   175 words
  Turn 374 | Opus  |    45 words
  Turn 375 | Jake  |    69 words
  Turn 376 | Opus  |    27 words
  Turn 377 | Jake  |   143 words
  Turn 378 | Opus  |    40 words
  Turn 379 | Jake  |   302 words
  Turn 380 | Opus  |    37 words
  Turn 381 | Jake  |    13 words
  Turn 382 | Opus  |   223 words
  Turn 383 | Jake  |    16 words
  Turn 384 | Opus  |   235 words
  Turn 385 | Jake  |    49 words
  Turn 386 | Opus  |   706 words
  Turn 387 | Jake  |    21 words
  Turn 388 | Opus  |   102 words
  Turn 389 | Jake  |    20 words
  Turn 390 | Opus  |   380 words
  Turn 391 | Jake  |     6 words
  Turn 392 | Opus  |   207 words
  Turn 393 | Jake  |    19 words
  Turn 394 | Opus  |   145 words
  Turn 395 | Jake  |    18 words
  Turn 396 | Opus  |   331 words
  Turn 397 | Jake  |    39 words
  Turn 398 | Opus  |   369 words
  Turn 399 | Jake  |    15 words
  Turn 400 | Opus  |    84 words
  Turn 401 | Jake  |   212 words
  Turn 402 | Opus  |   197 words
  Turn 403 | Jake  |   111 words
  Turn 404 | Opus  |   109 words
  Turn 405 | Jake  |   129 words
  Turn 406 | Opus  |   103 words
  Turn 407 | Jake  |    71 words
  Turn 408 | Opus  |    63 words
  Turn 409 | Jake  |    39 words
  Turn 410 | Opus  |   195 words
  Turn 411 | Jake  |   129 words
  Turn 412 | Opus  |   219 words
  Turn 413 | Jake  |    98 words
  Turn 414 | Opus  |   453 words
  Turn 415 | Jake  |    72 words
  Turn 416 | Opus  |   282 words
  Turn 417 | Jake  |    33 words
  Turn 418 | Opus  |   227 words
  Turn 419 | Jake  |    18 words
  Turn 420 | Opus  |   219 words
  Turn 421 | Jake  |    33 words
  Turn 422 | Opus  |   284 words
  Turn 423 | Jake  |    55 words
  Turn 424 | Opus  |   390 words
  Turn 425 | Jake  |    56 words
  Turn 426 | Opus  |   289 words
  Turn 427 | Opus  |   231 words
  Turn 428 | Jake  |    65 words
  Turn 429 | Opus  |    95 words
  Turn 430 | Jake  |    15 words
  Turn 431 | Opus  |   302 words
  Turn 432 | Jake  |    31 words
  Turn 433 | Opus  |   199 words
  Turn 434 | Jake  |    28 words
  Turn 435 | Opus  |   215 words
  Turn 436 | Jake  |   331 words
  Turn 437 | Opus  |    96 words
  Turn 438 | Jake  |    15 words
  Turn 439 | Opus  |   131 words
  Turn 440 | Jake  |     8 words
  Turn 441 | Opus  |    30 words
  Turn 442 | Jake  |    16 words
  Turn 443 | Opus  |   213 words
  Turn 444 | Jake  |    64 words
  Turn 445 | Opus  |   158 words
  Turn 446 | Jake  |    49 words
  Turn 447 | Opus  |   287 words
  Turn 448 | Jake  |    58 words
  Turn 449 | Opus  |   441 words
  Turn 450 | Jake  |    73 words
  Turn 451 | Opus  |   318 words
  Turn 452 | Jake  |    53 words
  Turn 453 | Opus  |   215 words
  Turn 454 | Jake  |    15 words
  Turn 455 | Opus  |   232 words
  Turn 456 | Jake  |   128 words
  Turn 457 | Opus  |   250 words
  Turn 458 | Jake  |    35 words
  Turn 459 | Opus  |   146 words
  Turn 460 | Jake  |   212 words
  Turn 461 | Opus  |   208 words
  Turn 462 | Jake  |   236 words
  Turn 463 | Opus  |   177 words
  Turn 464 | Jake  |   158 words
  Turn 465 | Opus  |   137 words
  Turn 466 | Jake  |   115 words
  Turn 467 | Opus  |    99 words
  Turn 468 | Jake  |   126 words
  Turn 469 | Opus  |    99 words
  Turn 470 | Jake  |   203 words
  Turn 471 | Opus  |   345 words
  Turn 472 | Jake  |   132 words
  Turn 473 | Opus  |   273 words
  Turn 474 | Jake  |    15 words
  Turn 475 | Opus  |   242 words
  Turn 476 | Jake  |    66 words
  Turn 477 | Opus  |   165 words
  Turn 478 | Jake  |    40 words
  Turn 479 | Opus  |   100 words
  Turn 480 | Jake  |    17 words
  Turn 481 | Opus  |    59 words
  Turn 482 | Jake  |    16 words
  Turn 483 | Opus  |   103 words
  Turn 484 | Jake  |    37 words
  Turn 485 | Opus  |   539 words
  Turn 486 | Jake  |   131 words
  Turn 487 | Opus  |   655 words
  Turn 488 | Jake  |    88 words
  Turn 489 | Opus  |   827 words
  Turn 490 | Jake  |   201 words
  Turn 491 | Opus  |   623 words
  Turn 492 | Jake  |   176 words
  Turn 493 | Opus  |  1100 words
  Turn 494 | Jake  |   205 words
  Turn 495 | Opus  |   901 words
  Turn 496 | Jake  |    87 words
  Turn 497 | Opus  |  1090 words
  Turn 498 | Jake  |   255 words
  Turn 499 | Opus  |   727 words
  Turn 500 | Jake  |    83 words
  Turn 501 | Opus  |   279 words
  Turn 502 | Jake  |    54 words
  Turn 503 | Opus  |   306 words
  Turn 504 | Jake  |    32 words
  Turn 505 | Opus  |   154 words
  Turn 506 | Jake  |    29 words
  Turn 507 | Opus  |   170 words
  Turn 508 | Jake  |    41 words
  Turn 509 | Opus  |   201 words
  Turn 510 | Jake  |    36 words
  Turn 511 | Opus  |   246 words
  Turn 512 | Jake  |    44 words
  Turn 513 | Opus  |   826 words
  Turn 514 | Jake  |    46 words
  Turn 515 | Opus  |   241 words
  Turn 516 | Jake  |   112 words
  Turn 517 | Opus  |    11 words
  Turn 518 | Jake  |   269 words
  Turn 519 | Opus  |   657 words
  Turn 520 | Jake  |    16 words
  Turn 521 | Opus  |   260 words
  Turn 522 | Jake  |     7 words
  Turn 523 | Opus  |   416 words
  Turn 524 | Jake  |    20 words
  Turn 525 | Opus  |   262 words
  Turn 526 | Jake  |    40 words
  Turn 527 | Opus  |   255 words
  Turn 528 | Jake  |    42 words
  Turn 529 | Opus  |   352 words
  Turn 530 | Jake  |    33 words
  Turn 531 | Opus  |   716 words
  Turn 532 | Jake  |    34 words
  Turn 533 | Opus  |  1393 words
  Turn 534 | Jake  |    24 words
  Turn 535 | Opus  |   380 words
  Turn 536 | Jake  |    12 words
  Turn 537 | Opus  |   467 words
  Turn 538 | Jake  |     6 words
  Turn 539 | Opus  |   590 words
  Turn 540 | Jake  |    46 words
  Turn 541 | Opus  |   423 words
  Turn 542 | Jake  |    42 words
  Turn 543 | Opus  |   199 words
  Turn 544 | Jake  |    61 words
  Turn 545 | Opus  |   753 words
  Turn 546 | Jake  |    68 words
  Turn 547 | Opus  |   864 words
  Turn 548 | Jake  |    34 words
  Turn 549 | Opus  |   531 words
  Turn 550 | Jake  |    91 words
  Turn 551 | Opus  |   297 words
  Turn 552 | Jake  |   143 words
  Turn 553 | Opus  |   257 words
  Turn 554 | Jake  |    43 words
  Turn 555 | Opus  |   137 words
  Turn 556 | Jake  |    87 words
  Turn 557 | Opus  |   182 words
  Turn 558 | Jake  |    63 words
  Turn 559 | Opus  |   156 words
  Turn 560 | Jake  |   125 words
  Turn 561 | Opus  |   101 words
  Turn 562 | Jake  |    54 words
  Turn 563 | Opus  |   220 words
  Turn 564 | Jake  |   137 words
  Turn 565 | Opus  |   127 words
  Turn 566 | Jake  |    50 words
  Turn 567 | Opus  |   112 words
  Turn 568 | Jake  |    22 words
  Turn 569 | Opus  |   212 words
  Turn 570 | Jake  |    74 words
  Turn 571 | Opus  |   172 words
  Turn 572 | Jake  |    66 words
  Turn 573 | Opus  |   409 words
  Turn 574 | Jake  |    10 words
  Turn 575 | Opus  |   146 words
  Turn 576 | Jake  |   106 words
  Turn 577 | Opus  |   236 words
  Turn 578 | Jake  |   107 words
  Turn 579 | Opus  |   300 words
  Turn 580 | Opus  |   198 words
  Turn 581 | Jake  |   172 words
  Turn 582 | Opus  |   231 words
  Turn 583 | Jake  |    73 words
  Turn 584 | Opus  |   189 words
  Turn 585 | Jake  |    63 words
  Turn 586 | Opus  |   122 words
  Turn 587 | Jake  |    62 words
  Turn 588 | Opus  |   182 words
  Turn 589 | Jake  |    84 words
  Turn 590 | Opus  |   190 words
  Turn 591 | Jake  |   232 words
  Turn 592 | Opus  |   249 words
  Turn 593 | Jake  |    31 words
  Turn 594 | Opus  |   344 words
  Turn 595 | Jake  |   195 words
  Turn 596 | Opus  |   178 words
  Turn 597 | Jake  |   117 words
  Turn 598 | Opus  |   191 words
  Turn 599 | Jake  |   294 words
  Turn 600 | Opus  |   306 words
  Turn 601 | Jake  |    22 words
  Turn 602 | Opus  |    67 words
  Turn 603 | Jake  |   229 words
  Turn 604 | Opus  |   266 words
  Turn 605 | Jake  |   356 words
  Turn 606 | Opus  |   314 words
  Turn 607 | Jake  |    34 words
  Turn 608 | Opus  |   175 words
  Turn 609 | Jake  |   176 words
  Turn 610 | Opus  |   195 words
  Turn 611 | Jake  |    45 words
  Turn 612 | Opus  |   167 words
  Turn 613 | Jake  |   567 words
  Turn 614 | Opus  |   246 words
  Turn 615 | Jake  |    82 words
  Turn 616 | Opus  |   120 words
  Turn 617 | Jake  |   142 words
  Turn 618 | Opus  |   192 words
  Turn 619 | Jake  |   172 words
  Turn 620 | Opus  |   175 words
  Turn 621 | Jake  |    74 words
  Turn 622 | Opus  |   181 words
  Turn 623 | Jake  |    49 words
  Turn 624 | Opus  |   274 words
  Turn 625 | Jake  |   100 words
  Turn 626 | Opus  |   345 words
  Turn 627 | Jake  |    34 words
  Turn 628 | Opus  |   373 words
  Turn 629 | Jake  |   324 words
  Turn 630 | Opus  |   910 words
  Turn 631 | Jake  |   116 words
  Turn 632 | Opus  |   504 words
  Turn 633 | Jake  |    99 words
  Turn 634 | Opus  |   735 words
  Turn 635 | Jake  |    87 words
  Turn 636 | Opus  |  1021 words
  Turn 637 | Jake  |    67 words
  Turn 638 | Opus  |   407 words
  Turn 639 | Jake  |    22 words
  Turn 640 | Opus  |   206 words
  Turn 641 | Jake  |    30 words
  Turn 642 | Opus  |   410 words
  Turn 643 | Jake  |    34 words
  Turn 644 | Opus  |   284 words
  Turn 645 | Jake  |    29 words
  Turn 646 | Opus  |    64 words
  Turn 647 | Jake  |    97 words
  Turn 648 | Opus  |   627 words
  Turn 649 | Jake  |    62 words
  Turn 650 | Opus  |   486 words
  Turn 651 | Jake  |   112 words
  Turn 652 | Opus  |   314 words
  Turn 653 | Jake  |   240 words
  Turn 654 | Opus  |   191 words
  Turn 655 | Jake  |    58 words
  Turn 656 | Opus  |   298 words
  Turn 657 | Jake  |     9 words
  Turn 658 | Opus  |   172 words
  Turn 659 | Jake  |    31 words
  Turn 660 | Opus  |   195 words
  Turn 661 | Jake  |    48 words
  Turn 662 | Opus  |   113 words
  Turn 663 | Jake  |   196 words
  Turn 664 | Opus  |   258 words
  Turn 665 | Jake  |    55 words
  Turn 666 | Opus  |   258 words
  Turn 667 | Jake  |   102 words
  Turn 668 | Opus  |   357 words
  Turn 669 | Jake  |    25 words
  Turn 670 | Opus  |   748 words
  Turn 671 | Jake  |    19 words
  Turn 672 | Opus  |   241 words
  Turn 673 | Jake  |    19 words
  Turn 674 | Opus  |  1078 words
  Turn 675 | Jake  |    37 words
  Turn 676 | Opus  |   138 words
  Turn 677 | Jake  |    47 words
  Turn 678 | Opus  |   311 words
  Turn 679 | Jake  |    52 words
  Turn 680 | Opus  |   316 words
  Turn 681 | Jake  |    61 words
  Turn 682 | Opus  |   297 words
  Turn 683 | Jake  |    92 words
  Turn 684 | Opus  |   816 words
  Turn 685 | Jake  |   553 words
  Turn 686 | Opus  |    41 words
  Turn 687 | Jake  |   154 words
  Turn 688 | Opus  |   687 words
  Turn 689 | Jake  |    88 words
  Turn 690 | Opus  |   364 words
  Turn 691 | Jake  |    95 words
  Turn 692 | Opus  |   443 words
  Turn 693 | Jake  |   488 words
  Turn 694 | Opus  |   358 words
  Turn 695 | Jake  |    36 words
  Turn 696 | Opus  |   361 words
  Turn 697 | Jake  |   256 words
  Turn 698 | Opus  |   347 words
  Turn 699 | Jake  |    53 words
  Turn 700 | Opus  |   395 words
  Turn 701 | Jake  |   103 words
  Turn 702 | Opus  |   372 words
  Turn 703 | Jake  |    10 words
  Turn 704 | Opus  |   593 words
  Turn 705 | Jake  |    60 words
  Turn 706 | Opus  |   669 words
  Turn 707 | Jake  |    77 words
  Turn 708 | Opus  |   316 words
  Turn 709 | Jake  |   160 words
  Turn 710 | Opus  |   298 words
  Turn 711 | Jake  |    23 words
  Turn 712 | Opus  |   106 words
  Turn 713 | Jake  |     7 words
  Turn 714 | Opus  |   227 words
  Turn 715 | Jake  |    68 words
  Turn 716 | Opus  |   173 words
  Turn 717 | Jake  |    52 words
  Turn 718 | Opus  |    98 words
  Turn 719 | Jake  |    56 words
  Turn 720 | Opus  |   245 words
  Turn 721 | Jake  |   116 words
  Turn 722 | Opus  |   150 words
  Turn 723 | Jake  |    13 words
  Turn 724 | Opus  |   355 words
  Turn 725 | Jake  |    48 words
  Turn 726 | Opus  |   532 words
  Turn 727 | Jake  |     6 words
  Turn 728 | Opus  |   205 words
  Turn 729 | Jake  |    43 words
  Turn 730 | Opus  |   173 words
  Turn 731 | Jake  |    57 words
  Turn 732 | Opus  |   169 words
  Turn 733 | Jake  |    31 words
  Turn 734 | Opus  |   468 words
  Turn 735 | Jake  |    33 words
  Turn 736 | Opus  |   146 words
  Turn 737 | Jake  |    47 words
  Turn 738 | Opus  |   259 words
  Turn 739 | Jake  |    10 words
  Turn 740 | Opus  |   142 words
  Turn 741 | Jake  |    43 words
  Turn 742 | Opus  |   391 words
  Turn 743 | Jake  |   463 words
  Turn 744 | Opus  |   133 words
  Turn 745 | Jake  |    67 words
  Turn 746 | Opus  |   124 words
  Turn 747 | Jake  |    20 words
  Turn 748 | Opus  |    48 words
  Turn 749 | Jake  |   482 words
  Turn 750 | Opus  |    94 words
  Turn 751 | Jake  |   192 words
  Turn 752 | Opus  |    53 words
  Turn 753 | Jake  |   193 words
  Turn 754 | Opus  |   627 words
  Turn 755 | Opus  |   204 words
  Turn 756 | Jake  |   121 words
  Turn 757 | Opus  |   120 words
  Turn 758 | Jake  |    51 words
  Turn 759 | Opus  |   108 words
  Turn 760 | Jake  |    28 words
  Turn 761 | Opus  |   150 words
  Turn 762 | Jake  |    38 words
  Turn 763 | Opus  |    45 words
  Turn 764 | Jake  |    57 words
  Turn 765 | Opus  |    67 words
  Turn 766 | Jake  |    51 words
  Turn 767 | Opus  |   288 words
  Turn 768 | Jake  |    74 words
  Turn 769 | Opus  |   249 words
  Turn 770 | Jake  |    38 words
  Turn 771 | Opus  |   301 words
